Curso-Seccion,Promedio,Calculo,Estadistica,Fisica,Quimica,Programacion,GestionEmp,Economia
BEF01-U,14.847,0.10,0.10,0.00,0.00,0.10,0.40,0.30
BEF01-V,14.847,0.10,0.10,0.00,0.00,0.10,0.40,0.30
BEF01-W,18.462,0.10,0.10,0.00,0.00,0.10,0.40,0.30
BEF01-X,18.462,0.10,0.10,0.00,0.00,0.10,0.40,0.30
BEF01-Y,17.579,0.10,0.10,0.00,0.00,0.10,0.40,0.30
BFI01-U,14.109,0.25,0.15,0.50,0.00,0.10,0.00,0.00
BFI01-V,16.807,0.25,0.15,0.50,0.00,0.10,0.00,0.00
BFI01-W,14.109,0.25,0.15,0.50,0.00,0.10,0.00,0.00
BFI01-X,16.807,0.25,0.15,0.50,0.00,0.10,0.00,0.00
BIC01-X,16.315,0.10,0.10,0.00,0.00,0.70,0.10,0.00
BIC01-Y,16.315,0.10,0.10,0.00,0.00,0.70,0.10,0.00
BMA01-U,16.734,1.00,0.00,0.00,0.00,0.00,0.00,0.00
BMA01-V,17.472,1.00,0.00,0.00,0.00,0.00,0.00,0.00
BMA01-W,17.381,1.00,0.00,0.00,0.00,0.00,0.00,0.00
BMA01-X,16.914,1.00,0.00,0.00,0.00,0.00,0.00,0.00
BMA01-Y,17.202,1.00,0.00,0.00,0.00,0.00,0.00,0.00
BMA02-U,17.499,1.00,0.00,0.00,0.00,0.00,0.00,0.00
BMA02-V,17.753,1.00,0.00,0.00,0.00,0.00,0.00,0.00
BMA02-W,16.741,1.00,0.00,0.00,0.00,0.00,0.00,0.00
BMA02-X,16.839,1.00,0.00,0.00,0.00,0.00,0.00,0.00
BMA03-V,17.11,1.00,0.00,0.00,0.00,0.00,0.00,0.00
BMA03-W,16.671,1.00,0.00,0.00,0.00,0.00,0.00,0.00
BMA03-X,17.202,1.00,0.00,0.00,0.00,0.00,0.00,0.00
BQU01-U,17.815,0.10,0.00,0.00,0.80,0.10,0.00,0.00
BQU01-V,17.458,0.10,0.00,0.00,0.80,0.10,0.00,0.00
BQU01-W,17.548,0.10,0.00,0.00,0.80,0.10,0.00,0.00
BQU01-X,17.815,0.10,0.00,0.00,0.80,0.10,0.00,0.00
BQU01-Y,17.086,0.10,0.00,0.00,0.80,0.10,0.00,0.00
BQU01-Z,17.508,0.10,0.00,0.00,0.80,0.10,0.00,0.00
BRC01-V,19.134,0.10,0.10,0.00,0.00,0.10,0.40,0.30
BRC01-W,19.134,0.10,0.10,0.00,0.00,0.10,0.40,0.30
BRC01-Y,14.847,0.10,0.10,0.00,0.00,0.10,0.40,0.30
BRN01-U,16.053,0.10,0.10,0.00,0.00,0.10,0.40,0.30
BRN01-X,17.579,0.10,0.10,0.00,0.00,0.10,0.40,0.30
FB101-U,17.402,0.75,0.00,0.00,0.00,0.25,0.00,0.00
FB101-W,17.182,0.75,0.00,0.00,0.00,0.25,0.00,0.00
FB101-X,16.671,0.75,0.00,0.00,0.00,0.25,0.00,0.00
FB101-Y,17.212,0.75,0.00,0.00,0.00,0.25,0.00,0.00
FB202-U,17.459,0.10,0.00,0.00,0.80,0.10,0.00,0.00
FB202-V,17.459,0.10,0.00,0.00,0.80,0.10,0.00,0.00
FB301-U,16.835,0.70,0.00,0.00,0.00,0.30,0.00,0.00
FB301-V,16.741,0.70,0.00,0.00,0.00,0.30,0.00,0.00
FB301-W,16.948,0.70,0.00,0.00,0.00,0.30,0.00,0.00
FB301-X,16.835,0.70,0.00,0.00,0.00,0.30,0.00,0.00
FB303-U,16.398,1.00,0.00,0.00,0.00,0.00,0.00,0.00
FB303-V,17.472,1.00,0.00,0.00,0.00,0.00,0.00,0.00
FB303-W,16.57,1.00,0.00,0.00,0.00,0.00,0.00,0.00
FB303-X,16.727,1.00,0.00,0.00,0.00,0.00,0.00,0.00
FB305-U,16.95,0.25,0.75,0.00,0.00,0.00,0.00,0.00
FB305-V,17.18,0.25,0.75,0.00,0.00,0.00,0.00,0.00
